"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
45111-00001,추심정 2,소공원,,전라북도 전주시 완산구 남노송동 102-13,35.8183021,127.1549494,244,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00002,추심정 1,소공원,전라북도 전주시 완산구 기린대로 106,전라북도 전주시 완산구 남노송동 156-35,35.8188266,127.1548864,180,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00003,학봉,소공원,전라북도 전주시 완산구 학봉1길 5-39,전라북도 전주시 완산구 동서학동 314-1,35.8042205,127.1525704,674,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00004,산성 1,소공원,,전라북도 전주시 완산구 동서학동 847-4,35.8068432,127.1596261,210,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00005,산성 2,소공원,전라북도 전주시 완산구 황학1길 6-3,전라북도 전주시 완산구 동서학동 860-2,35.8078617,127.1571844,321,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00006,산성공원,역사공원,전라북도 전주시 완산구 남고산성1길 176-9,전라북도 전주시 완산구 동서학동 산 157,35.7953531,127.1602416,1630490,운동기구,,정자+화장실+벤치,,,1966-02-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00007,원각사,소공원,전라북도 전주시 완산구 완산길 42,전라북도 전주시 완산구 동완산동 272-1,35.81141643,127.1428994,238,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00008,완산공원,근린공원,전라북도 전주시 완산구 완산4길 30-27,전라북도 전주시 완산구 동완산동 산 121-1,35.80968239,127.1417695,650887,배드민턴장+농구대+운동기구,조합놀이대+시소,정자+화장실+벤치,,,1992-05-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00009,상산공원,어린이공원,,전라북도 전주시 완산구 삼천동1가 577,35.8007004892,127.1198769,1658,운동기구,시소+그네,정자+화장실+벤치,,,1986-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00010,송정공원,어린이공원,,전라북도 전주시 완산구 삼천동1가 609,35.7981447155,127.1174232458,1570,운동기구,조합놀이대+시소+그네,정자+화장실+벤치,,,1986-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00011,약수공원,어린이공원,전라북도 전주시 완산구 상거마4길 15,전라북도 전주시 완산구 삼천동1가 615-4,35.79702585,127.1211804,2099,농구대+운동기구,시소+그네,정자+화장실+벤치,,,1986-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00012,세내공원,어린이공원,전라북도 전주시 완산구 거마산3길 10,전라북도 전주시 완산구 삼천동1가 636,35.7960636,127.124643,4068,운동기구,조합놀이대+그네,정자+화장실+벤치,,,1986-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00013,그린공원,근린공원,전라북도 전주시 완산구 거마남로 41,전라북도 전주시 완산구 삼천동1가 659,35.79492105,127.1214675,11335,게이트볼구장+운동기구,,정자+화장실+벤치,,수경설비,1992-05-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00014,모퉁이공원,어린이공원,,전라북도 전주시 완산구 삼천동1가 672-1,35.7937201602,127.1181687,2098,운동기구,조합놀이대,정자+벤치,,,1992-11-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
